conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1894077747158196565,Mon Feb 24 23:32:56 +0000 2025,0,@ketendunk gw mah ada BBRI buat longterm ak pnya bca bni mandiri bri pun so far so good kok BRI bnyk promo dan atm nya dimana aj ampe plosok gak nemu kendala blas,1894168664112267326,,ketendunk,in,Semarang,0,0,0,https://x.com/YurihVera/status/1894168664112267326,1591755077613936640,YurihVera
1894153617768062980,Mon Feb 24 22:33:08 +0000 2025,0,konyol banget tidur malem gua kebangun gara2 mimpi bbri gua minus 700 ribu,1894153617768062980,,,in,public diary 💭🎧🫧,0,1,0,https://x.com/twealos/status/1894153617768062980,1005118879570354176,twealos
1893871676942696743,Mon Feb 24 22:19:36 +0000 2025,1,@DEC15811147 @Gunawanpark @DDDSwordX @Mdy_Asmara1701 @prabowo Dari agustus itu sudah ada tanda² deflasi. Di tambah kebijakan² yang aneh. Makanya investor asing itu pada buang barang. Liat aja bbri dari akhir tahun asing pada jualan.,1894150209275613438,,aaaa6210297,in,,0,0,0,https://x.com/aaaa6210297/status/1894150209275613438,1883924911439380480,aaaa6210297
1894143442055565353,Mon Feb 24 21:54:35 +0000 2025,0,saham BBRI favorit kebanyakan investor: SMUA portofolio diwarnai IJOnya CUTE bbri dalam portofolio warteg saham BY JO ot B ot C ot P: 24/02/2025,1894143916452319376,,jo_maenSaham,in,,0,1,0,https://x.com/jo_maenSaham/status/1894143916452319376,1695285482861834240,jo_maenSaham
1894140717733237001,Mon Feb 24 21:41:53 +0000 2025,1,Beruntung udah cutloss di BBRI pindah ke swasta,1894140717733237001,,,in,,0,1,0,https://x.com/damsahel/status/1894140717733237001,550738574,damsahel
1894049264411570627,Mon Feb 24 18:32:57 +0000 2025,1,@_bbri lit!!!! me hackearon,1894093171153629204,,_bbri,en,,0,1,0,https://x.com/kzuhai/status/1894093171153629204,1349858440752091137,kzuhai
1894089069258297515,Mon Feb 24 18:16:39 +0000 2025,0,Tremendo flashback con el sonidito del celular,1894089069258297515,,,it,Sunsun🍯,0,0,0,https://x.com/_bbri/status/1894089069258297515,624825620,_bbri
1894049264411570627,Mon Feb 24 18:10:36 +0000 2025,0,@kzuhai Jamás creí ver el día en que dijeras esto,1894087545845133726,,kzuhai,es,Sunsun🍯,0,1,0,https://x.com/_bbri/status/1894087545845133726,624825620,_bbri
1894049264411570627,Mon Feb 24 18:10:27 +0000 2025,0,@kzuhai QUEEEE,1894087508192833914,,kzuhai,und,Sunsun🍯,0,0,0,https://x.com/_bbri/status/1894087508192833914,624825620,_bbri
1894069899237917178,Mon Feb 24 17:00:28 +0000 2025,0,No contar absolutamente nada es lo mejor q me esta pasando,1894069899237917178,,,es,"Rosario, Argentina",0,0,0,https://x.com/bbri__22/status/1894069899237917178,1618316964941684775,bbri__22
1894064138256609484,Mon Feb 24 16:37:35 +0000 2025,0,bbri pd mines,1894064138256609484,,,in,,0,0,0,https://x.com/urpr1ncesss/status/1894064138256609484,1172005626546769920,urpr1ncesss
1894064005825577355,Mon Feb 24 16:37:03 +0000 2025,0,DANANTARA di rilis hari ini oleh Presiden Prabowo bagaimana reaksi pasar saham &amp; uang? #CTASaham #Saham #IDX #BEI #IHSG #BUMN20 #LQ45 #Danantara #Prabowo #SWF #BMRI #BBCA #BBRI #BBNI #ASII #TLKM #WIFI #Algoritmatradingctasaham #AICTASaham #Tradeschool #kompascom #bisnisnews https://t.co/Z8gzVvi42A,1894064005825577355,https://pbs.twimg.com/media/GkkRLDuXMAIISF7.jpg,,in,Jakarta - Bandung - Bali,0,0,0,https://x.com/andri_zakarias/status/1894064005825577355,85741863,andri_zakarias
1893891054937522243,Mon Feb 24 16:34:43 +0000 2025,0,@inieskap gw skrg juga udah MALES pake bbri,1894063416882450607,,inieskap,in,,0,0,0,https://x.com/barudakHI/status/1894063416882450607,1358622502671425538,barudakHI
1894057789670162589,Mon Feb 24 16:12:21 +0000 2025,0,Waktu yang tepat untuk membeli saham perbankan adalah bulan bulan ini $BBRI $BMRI $BBNI ditengah kekhawatiran investor perihal Danantara.,1894057789670162589,,,in,69,0,0,0,https://x.com/DenmasRohiim/status/1894057789670162589,1114885880336924672,DenmasRohiim
1893986796196769845,Mon Feb 24 16:10:27 +0000 2025,0,@dizdle bbri itu ikut indeks ngeliatnya bukan jangka pendek atau menengah tapi panjang minimal 20 tahun baru berasa,1894057311884226823,,dizdle,in,,0,1,0,https://x.com/bxcardies/status/1894057311884226823,1597554067479273473,bxcardies
1894056514869961122,Mon Feb 24 16:07:17 +0000 2025,0,a melhor parte de ir para faculdade era fazer carinho nos gatos do PAF VI do ponto de ônibus até a entrada tinha um risco de 60% de assalto na ida e 87% na volta? sim mas os gatinhos eram tão fofos,1894056514869961122,,,pt,,0,0,0,https://x.com/her0bbri/status/1894056514869961122,928382372818685952,her0bbri
1894053220957233383,Mon Feb 24 15:54:12 +0000 2025,0,Hmmm menariq bru liat klu shm bank2 himb4r4 pd lg tes support tp emang volume buangan lbh gede drpd pas naik sih BMRI udh hampir kena target dotop. BBRI daily kepentok MA60. BBNI merah mulu Let's see support2nya yg skrg jebol apa gak...,1894053220957233383,,,in,Jakarta (UTC+7:00),0,0,0,https://x.com/shmininra/status/1894053220957233383,273806084,shmininra
1893903956742434844,Mon Feb 24 15:29:07 +0000 2025,0,@bbri__22 Las odddddio,1894046909343379950,,bbri__22,es,"Rosario, Argentina",0,0,0,https://x.com/dnewells16/status/1894046909343379950,1043888723274997760,dnewells16
1894041543821910344,Mon Feb 24 15:07:48 +0000 2025,0,Vamos cerrando el ortito es temprano para socializar tanto,1894041543821910344,,,es,Sunsun🍯,0,0,0,https://x.com/_bbri/status/1894041543821910344,624825620,_bbri
1893879207748411619,Mon Feb 24 15:04:29 +0000 2025,0,@Saham_fess Menyesal 18 bulan jagain bbri malah -26% ,1894040710224953582,,Saham_fess,in,District 12.,0,0,0,https://x.com/AlamsyahZhar/status/1894040710224953582,575168743,AlamsyahZhar
1894039456342053293,Mon Feb 24 14:59:30 +0000 2025,0,En efecto en cine,1894039456342053293,,,es,Sunsun🍯,0,0,0,https://x.com/_bbri/status/1894039456342053293,624825620,_bbri
1894036009345499163,Mon Feb 24 14:45:48 +0000 2025,0,Se ve hermosaaaa por siempre team Blair y Leighton,1894036009345499163,,,es,Sunsun🍯,0,0,0,https://x.com/_bbri/status/1894036009345499163,624825620,_bbri
1894035398504087798,Mon Feb 24 14:43:23 +0000 2025,0,bbriだ。。。。‼️(歓喜),1894035398504087798,,,ja,,0,0,0,https://x.com/nntm_noru/status/1894035398504087798,1874112561727365127,nntm_noru
1893886069587783728,Mon Feb 24 14:38:38 +0000 2025,1,@tempodotco Dlm 6 bulan saham BBRI terkoreksi 26%. Indeks mengalami down trend. Tapi kita tak bisa berbuat apa-apa sebelum semuanya jelas,1894034205278970332,,tempodotco,in,,0,0,0,https://x.com/gerry_wuryanto/status/1894034205278970332,1624938938820620288,gerry_wuryanto
1894032100296151145,Mon Feb 24 14:34:07 +0000 2025,0,@vantedelune bbri udah ijo lagi tuh chel ,1894033066877718995,,vantedelune,in,busy (inactive),0,1,0,https://x.com/joontriever/status/1894033066877718995,750019998,joontriever
1894032341393162309,Mon Feb 24 14:31:14 +0000 2025,0,BBRI 1960 njirrrrr,1894032341393162309,,,in,Indonesia,0,0,0,https://x.com/ReaMaia/status/1894032341393162309,93543489,ReaMaia
1894032100296151145,Mon Feb 24 14:30:16 +0000 2025,0,memantau saham bbni bbri bmri tlkm hari ini https://t.co/wdCE1Pg45t,1894032100296151145,https://pbs.twimg.com/media/Gkj0KDGWYAAvufc.jpg,,in,,0,2,0,https://x.com/vantedelune/status/1894032100296151145,762570106245308417,vantedelune
1893886069587783728,Mon Feb 24 14:29:36 +0000 2025,0,@tempodotco harga saham nya juga turun terus ... kapan buyback nih BBRI BMRI BBTN agar kerek harga saham nya ,1894031930514964877,,tempodotco,in,Jakarta,0,0,0,https://x.com/kanghaddy/status/1894031930514964877,132839459,kanghaddy
1894020687544594799,Mon Feb 24 13:44:55 +0000 2025,0,Danantara flop. BBRI BMRI BBNI flop. TLKM fuck u,1894020687544594799,,,in,"kasur, terpantau rebahan",0,0,0,https://x.com/dugonginluv/status/1894020687544594799,1251552107456389122,dugonginluv
1893990494751150233,Mon Feb 24 13:44:21 +0000 2025,2,@Saham_fess Untuk sementara saham itu haram nder kalo bbri sudah ke 5000 fatwa nya akan di cabut.,1894020543675785298,,Saham_fess,in,"Makassar, Indonesia",0,0,0,https://x.com/bASRIKhan5/status/1894020543675785298,1567477421104074752,bASRIKhan5
1893990494751150233,Mon Feb 24 13:43:39 +0000 2025,0,@Saham_fess Bbri emg harga wajar 3800an kok. Danantara tambah makin males investornya Gua dari awal Prabowo blunder udh gak lirik BUMN lagi,1894020365774459252,,Saham_fess,in,,0,0,0,https://x.com/miracleflowww/status/1894020365774459252,1770433612682534912,miracleflowww
1893925282530103690,Mon Feb 24 13:37:40 +0000 2025,0,@kemgelapan All in bbri,1894018861277610104,,kemgelapan,en,,0,0,0,https://x.com/UBenzaid/status/1894018861277610104,1770529853764497408,UBenzaid
1894017394504245602,Mon Feb 24 13:31:54 +0000 2025,1,Contoh Tuan A membeli saham BBRI pada 2021 sebanyak 100.000 lembar dan tidak pernah menambah / menjualnya Dividen 3 tahun terakhir Rp 17.425.000 1 April 2022 Rp 5.700.000 27 Januari 2023 Rp 23.122.139 12 April 2023 Rp 8.400.000 18 Jan 2024 Rp 23.500.000 28 Maret 2024,1894017409171808461,,Rudiyanto_zh,in,"Denpasar Selatan, Indonesia",0,1,0,https://x.com/Rudiyanto_zh/status/1894017409171808461,574453228,Rudiyanto_zh
1893919981404029343,Mon Feb 24 13:31:41 +0000 2025,0,@JhonSitorus_18 @juarakelasuajy Itu BBNI BBRI ada CA mau buyback saham. Yakali lu beli saham maunya di harga tinggi ? Benci boleh tapi dungu ya jangan lah lae. Jangan lah kau tebar kebodohanmu sendiri.,1894017358227763316,,JhonSitorus_18,in,"Batavia, Dutch East Indies",0,0,0,https://x.com/BataviaRegion/status/1894017358227763316,1113237298034774016,BataviaRegion
1894017277642637577,Mon Feb 24 13:31:22 +0000 2025,0,Ya allah ini nasib saham bbri q gmna ,1894017277642637577,,,in,"DKI Jakarta, Indonesia",0,1,0,https://x.com/DesminDesii/status/1894017277642637577,2269834176,DesminDesii
1894016973899546913,Mon Feb 24 13:30:10 +0000 2025,0,Llevo como 1 año esperando el milagroooo,1894016973899546913,,,es,Sunsun🍯,0,0,0,https://x.com/_bbri/status/1894016973899546913,624825620,_bbri
