conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1890854338618077315,Sat Feb 15 20:02:59 +0000 2025,1,Bingung bnget makin hari makin terjun Padahal mau plan di LM Tapi nyangkut di BBRI sama BNGA https://t.co/l9a9i8WMkm,1890854338618077315,https://pbs.twimg.com/media/Gj2pkiDbIAAz_Ai.jpg,,in,Jakarta,0,0,0,https://x.com/Zuxhinn27/status/1890854338618077315,1761491029239439360,Zuxhinn27
1890754056550760871,Sat Feb 15 13:24:30 +0000 2025,0,BBRI BMRI dan BBNI Siap Tebar Dividen Jumbo Intip Bocarannya https://t.co/NWnI4jRWDy,1890754056550760871,,,in,Indonesia,0,0,0,https://x.com/ilhamiasnawi/status/1890754056550760871,305657272,ilhamiasnawi
1890753336497906042,Sat Feb 15 13:21:38 +0000 2025,1,Mumpung Murah BBRI Diburu https://t.co/z4hjLiGYgf via @InvestorID,1890753336497906042,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/InvestorID/status/1890753336497906042,238091066,InvestorID
1890667299914285555,Sat Feb 15 07:39:45 +0000 2025,0, Investor asing terus jual saham di BEI! Net sell mencapai 320 66 juta saham dengan BBRI jadi korban terbesar (net sell 207 93 juta saham). Peluang atau ancaman? Cek berita lengkapnya: https://t.co/tssa41oEwx #BBRI #Investasi #NetSell #StockMarket https://t.co/durbrIKx8f,1890667299914285555,https://pbs.twimg.com/media/Gjz_zfQacAAiZ6N.jpg,,in,Jakarta,0,0,0,https://x.com/BursaNusantara/status/1890667299914285555,1869760512575389697,BursaNusantara
1890599250456899879,Sat Feb 15 03:09:21 +0000 2025,4,Empat bank berkapitalisasi jumbo telah melaporkan kinerjanya sepanjang 2024. PT Bank Rakyat Indonesia Tbk (BBRI) menempati posisi pertama sebagai bank yang memiliki laba konsolidasi paling besar di 2024 sebesar Rp60 1 triliun. Baca selengkapnya: https://t.co/t4plopZn9b #Laba https://t.co/swgOoudEuJ,1890599250456899879,https://pbs.twimg.com/media/GjzBw6bacAA6x7t.jpg,,in,Jakarta,0,0,1,https://x.com/KATADATAcoid/status/1890599250456899879,552523769,KATADATAcoid
