conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1892398644101517373,Thu Feb 20 02:19:30 +0000 2025,0,Saham BBRI diomongin negatif? Fundamentalnya tetap stabil bisnis tetap cuan! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/cExAtBMU0y,1892398644101517373,https://pbs.twimg.com/media/GkMmhmcWUAINsKF.jpg,,in,,0,0,0,https://x.com/TaniaWidiastut3/status/1892398644101517373,1546717821111267328,TaniaWidiastut3
1892398542200946892,Thu Feb 20 02:19:06 +0000 2025,0,Konten negatif boleh ada tapi BBRI tetap di jalur pertumbuhan! Fundamentalnya masih top! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/hw78xaQPhN,1892398542200946892,https://pbs.twimg.com/media/GkMmcIebUAAtmWu.jpg,,in,,0,0,0,https://x.com/TaniaWidiastut3/status/1892398542200946892,1546717821111267328,TaniaWidiastut3
1892398425267679648,Thu Feb 20 02:18:38 +0000 2025,0,Investor BBRI nggak perlu takut! Bisnisnya berkembang keuangannya sehat cuan tetap mengalir! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/JVZxQwRUkB,1892398425267679648,https://pbs.twimg.com/media/GkMmJ-0bUAEbaCr.jpg,,in,,0,0,0,https://x.com/TaniaWidiastut3/status/1892398425267679648,1546717821111267328,TaniaWidiastut3
1892398115933893091,Thu Feb 20 02:17:24 +0000 2025,0,Jangan panik lihat konten negatif! BBRI tetap bank yang punya fundamental super kuat! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/cLmWloafhJ,1892398115933893091,https://pbs.twimg.com/media/GkMmDcGbUAEP-16.jpg,,in,,0,0,0,https://x.com/TaniaWidiastut3/status/1892398115933893091,1546717821111267328,TaniaWidiastut3
1892397881425883533,Thu Feb 20 02:16:28 +0000 2025,0,Saham BBRI nggak akan goyah cuma gara-gara konten negatif! Fundamental tetap solid bisnis tetap maju! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/QSLayxanx2,1892397881425883533,https://pbs.twimg.com/media/GkMl1n7bUAEJ7GJ.jpg,,in,Palembang,0,0,0,https://x.com/BetaniaHasanah/status/1892397881425883533,1547122874498285568,BetaniaHasanah
1892397788761047440,Thu Feb 20 02:16:06 +0000 2025,0,Banyak yang coba nakut-nakutin investor BBRI tapi fundamentalnya tetap juara! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/TEr5cPnwJI,1892397788761047440,https://pbs.twimg.com/media/GkMlq4PbsAAkiXv.jpg,,in,Palembang,0,0,0,https://x.com/BetaniaHasanah/status/1892397788761047440,1547122874498285568,BetaniaHasanah
1892397573509697961,Thu Feb 20 02:15:15 +0000 2025,0,Jangan termakan ketakutan! BBRI punya fundamental kuat bisnisnya berkembang cuan tetap mengalir! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/oyiLwnHnyv,1892397573509697961,https://pbs.twimg.com/media/GkMljqrXcAAvyUn.jpg,,in,Palembang,0,0,0,https://x.com/BetaniaHasanah/status/1892397573509697961,1547122874498285568,BetaniaHasanah
1892397436376625245,Thu Feb 20 02:14:42 +0000 2025,0,BBRI tetap di jalur pertumbuhan! Jangan percaya isu negatif sebelum cek data keuangannya! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/AIQKWSwtJb,1892397436376625245,https://pbs.twimg.com/media/GkMlbYebUAE5y9d.jpg,,in,Palembang,0,0,0,https://x.com/BetaniaHasanah/status/1892397436376625245,1547122874498285568,BetaniaHasanah
1892397255992479771,Thu Feb 20 02:13:59 +0000 2025,0,Takut soal BBRI? Cek fundamentalnya dulu! Masih stabil laba tetap tumbuh bisnis tetap kokoh! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/T3H4VcS5YY,1892397255992479771,https://pbs.twimg.com/media/GkMlQzbbUAEfFBE.jpg,,in,Palembang,0,0,0,https://x.com/BetaniaHasanah/status/1892397255992479771,1547122874498285568,BetaniaHasanah
1892396882879529374,Thu Feb 20 02:12:30 +0000 2025,0,Saham BBRI tetap menarik! Fundamentalnya kuat bisnis berkembang dan cuan terus! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/qvdsERD4li,1892396882879529374,https://pbs.twimg.com/media/GkMk7dwaAAEVZ2D.jpg,,in,,0,0,0,https://x.com/MelatiKsm/status/1892396882879529374,1546789408372043778,MelatiKsm
